"dose_group","n","mf_min_mean","mf_min_sem","mf_max_mean","mf_max_sem"
"Control",6,17.4255593907006,1.29158512658434,21.6568119938293,2.25687763027882
"Low",6,34.2578675254359,1.3786980867509,51.4763822786721,3.18118311417648
"Medium",6,68.4001878778732,5.72385404968021,104.602730952296,5.10652520154103
"High",6,95.3588910098725,2.86596030170438,262.765753110041,26.7380500934882
