"","Fold.Change","FC.Std.Err","Obs.T","p.value","df","FC.Lower","FC.Upper","adj_p.value","Significance","dose_1","dose_2"
"12.5 vs 0",1.96426203334285,0.197773204360021,6.70518510091956,1.58990118559466e-06,20,1.5921571840028,2.42333192626879,4.7696959734056e-06,"***","12.5","0"
"25 vs 0",3.65995613978823,0.350096507791618,13.5637295628257,1.51643142487501e-11,20,2.99791303167458,4.46820131326198,4.54929427462503e-11,"***","25","0"
"50 vs 0",5.44542000666786,0.48558357796901,19.0055049417855,2.8421709430404e-14,20,4.52113740600562,6.55865911299883,8.5265128291212e-14,"***","50","0"
