"","Estimate","Std.Err","Lower","Upper","dose"
"0",1.74235895197496e-07,1.44471649985013e-08,1.46561876346906e-07,2.07135361063584e-07,"0"
"12.5",3.42244953781945e-07,1.95479916418428e-08,3.03804021428942e-07,3.85549894429564e-07,"12.5"
"25",6.37695734399574e-07,3.04146975392615e-08,5.77305675736736e-07,7.04402999593678e-07,"25"
"50",9.48787629588129e-07,3.11300946932983e-08,8.8602370948656e-07,1.01599760415115e-06,"50"
